accuracy,classifier,dataset,f1,flip_type,iteration,latency,modification_method,num_poisoned,poisoned_classes,precision,recall,timestamp,total_images,f1_class_0,f1_class_1,f1_class_10,f1_class_11,f1_class_12,f1_class_13,f1_class_14,f1_class_15,f1_class_16,f1_class_17,f1_class_18,f1_class_19,f1_class_2,f1_class_20,f1_class_21,f1_class_22,f1_class_23,f1_class_24,f1_class_25,f1_class_26,f1_class_27,f1_class_28,f1_class_29,f1_class_3,f1_class_30,f1_class_31,f1_class_32,f1_class_33,f1_class_34,f1_class_35,f1_class_36,f1_class_37,f1_class_38,f1_class_39,f1_class_4,f1_class_40,f1_class_41,f1_class_42,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9,mode,precision_class_0,precision_class_1,precision_class_10,precision_class_11,precision_class_12,precision_class_13,precision_class_14,precision_class_15,precision_class_16,precision_class_17,precision_class_18,precision_class_19,precision_class_2,precision_class_20,precision_class_21,precision_class_22,precision_class_23,precision_class_24,precision_class_25,precision_class_26,precision_class_27,precision_class_28,precision_class_29,precision_class_3,precision_class_30,precision_class_31,precision_class_32,precision_class_33,precision_class_34,precision_class_35,precision_class_36,precision_class_37,precision_class_38,precision_class_39,precision_class_4,precision_class_40,precision_class_41,precision_class_42,precision_class_5,precision_class_6,precision_class_7,precision_class_8,precision_class_9,recall_class_0,recall_class_1,recall_class_10,recall_class_11,recall_class_12,recall_class_13,recall_class_14,recall_class_15,recall_class_16,recall_class_17,recall_class_18,recall_class_19,recall_class_2,recall_class_20,recall_class_21,recall_class_22,recall_class_23,recall_class_24,recall_class_25,recall_class_26,recall_class_27,recall_class_28,recall_class_29,recall_class_3,recall_class_30,recall_class_31,recall_class_32,recall_class_33,recall_class_34,recall_class_35,recall_class_36,recall_class_37,recall_class_38,recall_class_39,recall_class_4,recall_class_40,recall_class_41,recall_class_42,recall_class_5,recall_class_6,recall_class_7,recall_class_8,recall_class_9
0.585,SVM,GTSRB,0.627157294231016,random_to_random,0,0.021906137466430664,label_flipping,50,,0.735235341426124,0.585,20241226_222446,1000,0.8695652173913043,0.5777777777777777,0.5405405405405406,0.6285714285714286,0.7317073170731707,0.85,0.9545454545454546,0.6037735849056604,0.7567567567567568,0.9130434782608695,0.5531914893617021,0.37209302325581395,0.46511627906976744,0.7368421052631579,0.6956521739130435,0.875,0.6976744186046512,0.7142857142857143,0.5454545454545454,0.7368421052631579,0.75,0.5789473684210527,0.35294117647058826,0.16216216216216217,0.5789473684210527,0.3655913978494624,0.7619047619047619,0.7906976744186046,0.10810810810810811,0.7555555555555555,0.65,0.9565217391304348,0.5365853658536586,0.8780487804878049,0.4117647058823529,0.8936170212765957,0.6486486486486487,0.7619047619047619,0.35294117647058826,0.5294117647058824,0.47368421052631576,0.26666666666666666,0.6440677966101694,standard,0.8695652173913043,0.5909090909090909,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0,1.0,0.5333333333333333,1.0,0.9130434782608695,0.5416666666666666,0.4,0.5882352941176471,0.9333333333333333,0.6956521739130435,0.84,0.75,0.7894736842105263,0.9,0.9333333333333333,0.8823529411764706,0.7333333333333333,0.5454545454545454,0.21428571428571427,0.7333333333333333,0.2463768115942029,0.8421052631578947,0.85,0.06030150753768844,0.7727272727272727,0.7647058823529411,1.0,0.6111111111111112,1.0,0.7777777777777778,0.875,0.8571428571428571,0.8421052631578947,0.5454545454545454,0.8181818181818182,0.6,0.6666666666666666,0.5428571428571428,0.8695652173913043,0.5652173913043478,0.4,0.4782608695652174,0.6521739130434783,0.7391304347826086,0.9130434782608695,0.6956521739130435,0.6086956521739131,0.9130434782608695,0.5652173913043478,0.34782608695652173,0.38461538461538464,0.6086956521739131,0.6956521739130435,0.9130434782608695,0.6521739130434783,0.6521739130434783,0.391304347826087,0.6086956521739131,0.6521739130434783,0.4782608695652174,0.2608695652173913,0.13043478260869565,0.4782608695652174,0.7083333333333334,0.6956521739130435,0.7391304347826086,0.5217391304347826,0.7391304347826086,0.5652173913043478,0.9166666666666666,0.4782608695652174,0.782608695652174,0.28,0.9130434782608695,0.5217391304347826,0.6956521739130435,0.2608695652173913,0.391304347826087,0.391304347826087,0.16666666666666666,0.7916666666666666
0.593,SVM,GTSRB,0.620561011594001,random_to_random,0,0.019127607345581055,label_flipping,150,,0.7323372614596997,0.593,20241226_222446,1000,0.8780487804878049,0.36363636363636365,0.5789473684210527,0.5,0.6666666666666666,0.8292682926829268,0.8936170212765957,0.6938775510204082,0.8292682926829268,0.9361702127659575,0.6382978723404256,0.5405405405405406,0.6190476190476191,0.5294117647058824,0.717948717948718,0.7083333333333334,0.6111111111111112,0.7894736842105263,0.6486486486486487,0.717948717948718,0.6666666666666666,0.45614035087719296,0.5405405405405406,0.37681159420289856,0.7272727272727273,0.23863636363636365,0.24390243902439024,0.851063829787234,0.48484848484848486,0.7441860465116279,0.8936170212765957,0.8888888888888888,0.46153846153846156,0.9777777777777777,0.4117647058823529,0.9545454545454546,0.3380281690140845,0.45161290322580644,0.3448275862068966,0.42424242424242425,0.41379310344827586,0.4,0.7346938775510204,standard,1.0,0.3125,0.8461538461538461,0.5882352941176471,0.8125,0.9444444444444444,0.875,0.6538461538461539,0.9444444444444444,0.9166666666666666,0.625,0.7142857142857143,0.8125,0.8181818181818182,0.875,0.68,0.8461538461538461,1.0,0.8571428571428571,0.875,0.8125,0.38235294117647056,0.7142857142857143,0.2826086956521739,0.7619047619047619,0.13815789473684212,0.2777777777777778,0.8333333333333334,0.8,0.8,0.875,0.9523809523809523,0.41379310344827586,1.0,0.7777777777777778,1.0,0.25,0.875,0.8333333333333334,0.7,1.0,0.30434782608695654,0.72,0.782608695652174,0.43478260869565216,0.44,0.43478260869565216,0.5652173913043478,0.7391304347826086,0.9130434782608695,0.7391304347826086,0.7391304347826086,0.9565217391304348,0.6521739130434783,0.43478260869565216,0.5,0.391304347826087,0.6086956521739131,0.7391304347826086,0.4782608695652174,0.6521739130434783,0.5217391304347826,0.6086956521739131,0.5652173913043478,0.5652173913043478,0.43478260869565216,0.5652173913043478,0.6956521739130435,0.875,0.21739130434782608,0.8695652173913043,0.34782608695652173,0.6956521739130435,0.9130434782608695,0.8333333333333334,0.5217391304347826,0.9565217391304348,0.28,0.9130434782608695,0.5217391304347826,0.30434782608695654,0.21739130434782608,0.30434782608695654,0.2608695652173913,0.5833333333333334,0.75
0.558,SVM,GTSRB,0.5869513794097267,random_to_random,0,0.019890785217285156,label_flipping,250,,0.702951401684412,0.558,20241226_222446,1000,0.8571428571428571,0.5333333333333333,0.5945945945945946,0.47368421052631576,0.5909090909090909,0.85,0.9090909090909091,0.5614035087719298,0.7317073170731707,0.8695652173913043,0.4864864864864865,0.5641025641025641,0.41025641025641024,0.6666666666666666,0.65,0.6666666666666666,0.6808510638297872,0.717948717948718,0.41379310344827586,0.2857142857142857,0.6470588235294118,0.1917808219178082,0.47368421052631576,0.14814814814814814,0.5641025641025641,0.65,0.5,0.85,0.5507246376811594,0.7027027027027027,0.7619047619047619,0.7076923076923077,0.5116279069767442,0.7894736842105263,0.4864864864864865,0.8571428571428571,0.6363636363636364,0.7037037037037037,0.125,0.43243243243243246,0.3448275862068966,0.3157894736842105,0.8,standard,0.9473684210526315,0.5454545454545454,0.9166666666666666,0.6,0.6190476190476191,1.0,0.9523809523809523,0.47058823529411764,0.8333333333333334,0.8695652173913043,0.6428571428571429,0.6875,0.6153846153846154,0.9230769230769231,0.7647058823529411,0.6071428571428571,0.6666666666666666,0.875,1.0,0.17475728155339806,1.0,0.11382113821138211,0.6,0.5,0.6875,0.8125,0.5882352941176471,1.0,0.41304347826086957,0.9285714285714286,0.8421052631578947,0.5609756097560976,0.55,1.0,0.75,0.9473684210526315,0.6666666666666666,0.6129032258064516,0.0975609756097561,0.5714285714285714,0.8333333333333334,0.42857142857142855,1.0,0.782608695652174,0.5217391304347826,0.44,0.391304347826087,0.5652173913043478,0.7391304347826086,0.8695652173913043,0.6956521739130435,0.6521739130434783,0.8695652173913043,0.391304347826087,0.4782608695652174,0.3076923076923077,0.5217391304347826,0.5652173913043478,0.7391304347826086,0.6956521739130435,0.6086956521739131,0.2608695652173913,0.782608695652174,0.4782608695652174,0.6086956521739131,0.391304347826087,0.08695652173913043,0.4782608695652174,0.5416666666666666,0.43478260869565216,0.7391304347826086,0.8260869565217391,0.5652173913043478,0.6956521739130435,0.9583333333333334,0.4782608695652174,0.6521739130434783,0.36,0.782608695652174,0.6086956521739131,0.8260869565217391,0.17391304347826086,0.34782608695652173,0.21739130434782608,0.25,0.6666666666666666
0.537,SVM,GTSRB,0.5533122231014662,random_to_random,0,0.029386520385742188,label_flipping,350,,0.6536292988874683,0.537,20241226_222446,1000,0.8636363636363636,0.34146341463414637,0.5641025641025641,0.3870967741935484,0.6818181818181818,0.6557377049180327,0.6349206349206349,0.6222222222222222,0.5161290322580645,0.8301886792452831,0.55,0.5,0.3902439024390244,0.1342281879194631,0.6808510638297872,0.7111111111111111,0.6666666666666666,0.5074626865671642,0.5142857142857142,0.6285714285714286,0.6666666666666666,0.7,0.4666666666666667,0.16666666666666666,0.6530612244897959,0.375,0.5789473684210527,0.7727272727272727,0.6511627906976745,0.7317073170731707,0.8695652173913043,0.45714285714285713,0.6285714285714286,0.7666666666666667,0.4090909090909091,0.8205128205128205,0.21686746987951808,0.6909090909090909,0.13333333333333333,0.43902439024390244,0.375,0.4473684210526316,0.4489795918367347,standard,0.9047619047619048,0.3888888888888889,0.7857142857142857,0.75,0.7142857142857143,0.5263157894736842,0.5,0.6363636363636364,1.0,0.7333333333333333,0.6470588235294118,0.6923076923076923,0.5333333333333333,0.07936507936507936,0.6666666666666666,0.7272727272727273,0.9230769230769231,0.38636363636363635,0.75,0.9166666666666666,0.8125,0.8235294117647058,1.0,0.23076923076923078,0.6153846153846154,0.75,0.7333333333333333,0.8095238095238095,0.7,0.8333333333333334,0.8695652173913043,0.7272727272727273,0.9166666666666666,0.6216216216216216,0.47368421052631576,1.0,0.15,0.59375,0.2857142857142857,0.5,0.6666666666666666,0.3269230769230769,0.44,0.8260869565217391,0.30434782608695654,0.44,0.2608695652173913,0.6521739130434783,0.8695652173913043,0.8695652173913043,0.6086956521739131,0.34782608695652173,0.9565217391304348,0.4782608695652174,0.391304347826087,0.3076923076923077,0.43478260869565216,0.6956521739130435,0.6956521739130435,0.5217391304347826,0.7391304347826086,0.391304347826087,0.4782608695652174,0.5652173913043478,0.6086956521739131,0.30434782608695654,0.13043478260869565,0.6956521739130435,0.25,0.4782608695652174,0.7391304347826086,0.6086956521739131,0.6521739130434783,0.8695652173913043,0.3333333333333333,0.4782608695652174,1.0,0.36,0.6956521739130435,0.391304347826087,0.8260869565217391,0.08695652173913043,0.391304347826087,0.2608695652173913,0.7083333333333334,0.4583333333333333
0.519,SVM,GTSRB,0.5485282826886604,random_to_random,0,0.01370692253112793,label_flipping,500,,0.6429030458858577,0.519,20241226_222446,1000,0.8695652173913043,0.3333333333333333,0.3157894736842105,0.5,0.7368421052631579,0.6857142857142857,0.8085106382978723,0.4090909090909091,0.7027027027027027,0.9090909090909091,0.5454545454545454,0.5106382978723404,0.4,0.6,0.5945945945945946,0.46153846153846156,0.39436619718309857,0.7804878048780488,0.3181818181818182,0.7083333333333334,0.7368421052631579,0.5142857142857142,0.5714285714285714,0.21621621621621623,0.47058823529411764,0.4897959183673469,0.5306122448979592,0.8292682926829268,0.5217391304347826,0.6285714285714286,0.717948717948718,0.9361702127659575,0.4,0.625,0.15873015873015872,0.8181818181818182,0.6486486486486487,0.7727272727272727,0.2,0.5405405405405406,0.42424242424242425,0.06896551724137931,0.273972602739726,standard,0.8695652173913043,0.32,0.46153846153846156,0.48,0.9333333333333333,1.0,0.7916666666666666,0.42857142857142855,0.9285714285714286,0.9523809523809523,0.9,0.5,0.7777777777777778,0.7058823529411765,0.7857142857142857,0.35714285714285715,0.2916666666666667,0.8888888888888888,0.3333333333333333,0.68,0.9333333333333333,0.75,0.8333333333333334,0.2857142857142857,0.7272727272727273,0.48,0.5,0.9444444444444444,0.5217391304347826,0.9166666666666666,0.875,0.9565217391304348,0.34375,0.6,0.09146341463414634,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.23529411764705882,0.7142857142857143,0.7,0.2,0.20408163265306123,0.8695652173913043,0.34782608695652173,0.24,0.5217391304347826,0.6086956521739131,0.5217391304347826,0.8260869565217391,0.391304347826087,0.5652173913043478,0.8695652173913043,0.391304347826087,0.5217391304347826,0.2692307692307692,0.5217391304347826,0.4782608695652174,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.30434782608695654,0.7391304347826086,0.6086956521739131,0.391304347826087,0.43478260869565216,0.17391304347826086,0.34782608695652173,0.5,0.5652173913043478,0.7391304347826086,0.5217391304347826,0.4782608695652174,0.6086956521739131,0.9166666666666666,0.4782608695652174,0.6521739130434783,0.6,0.782608695652174,0.5217391304347826,0.7391304347826086,0.17391304347826086,0.43478260869565216,0.30434782608695654,0.041666666666666664,0.4166666666666667
0.462,SVM,GTSRB,0.485422801433288,random_to_random,0,0.021760225296020508,label_flipping,1000,,0.5956820253555067,0.462,20241226_222446,1000,0.5789473684210527,0.2564102564102564,0.5945945945945946,0.41509433962264153,0.5625,0.6666666666666666,0.9047619047619048,0.3595505617977528,0.717948717948718,0.8205128205128205,0.5,0.45161290322580644,0.35,0.2222222222222222,0.7391304347826086,0.6046511627906976,0.5777777777777777,0.7619047619047619,0.3888888888888889,0.5,0.6842105263157895,0.32727272727272727,0.3137254901960784,0.18518518518518517,0.43956043956043955,0.47619047619047616,0.17391304347826086,0.6222222222222222,0.5,0.7555555555555555,0.5652173913043478,0.7407407407407407,0.47058823529411764,0.8095238095238095,0.06451612903225806,0.8571428571428571,0.2222222222222222,0.3448275862068966,0.13793103448275862,0.47619047619047616,0.13559322033898305,0.05128205128205128,0.5945945945945946,standard,0.7333333333333333,0.3125,0.9166666666666666,0.36666666666666664,1.0,0.8125,1.0,0.24242424242424243,0.875,1.0,0.8888888888888888,0.875,0.5,0.75,0.7391304347826086,0.65,0.5909090909090909,0.8421052631578947,0.5384615384615384,0.4482758620689655,0.8666666666666667,0.28125,0.2857142857142857,0.16129032258064516,0.29411764705882354,0.5555555555555556,0.17391304347826086,0.6363636363636364,0.6923076923076923,0.7727272727272727,0.5652173913043478,0.6666666666666666,0.7272727272727273,0.8947368421052632,0.16666666666666666,0.9473684210526315,0.1935483870967742,0.8333333333333334,0.3333333333333333,0.5263157894736842,0.07792207792207792,0.06666666666666667,0.8461538461538461,0.4782608695652174,0.21739130434782608,0.44,0.4782608695652174,0.391304347826087,0.5652173913043478,0.8260869565217391,0.6956521739130435,0.6086956521739131,0.6956521739130435,0.34782608695652173,0.30434782608695654,0.2692307692307692,0.13043478260869565,0.7391304347826086,0.5652173913043478,0.5652173913043478,0.6956521739130435,0.30434782608695654,0.5652173913043478,0.5652173913043478,0.391304347826087,0.34782608695652173,0.21739130434782608,0.8695652173913043,0.4166666666666667,0.17391304347826086,0.6086956521739131,0.391304347826087,0.7391304347826086,0.5652173913043478,0.8333333333333334,0.34782608695652173,0.7391304347826086,0.04,0.782608695652174,0.2608695652173913,0.21739130434782608,0.08695652173913043,0.43478260869565216,0.5217391304347826,0.041666666666666664,0.4583333333333333
0.609,SVM,GTSRB,0.6334630658998525,random_to_random,0,0.015235185623168945,label_flipping,50,,0.7199420597288138,0.609,20241226_222446,1000,0.8070175438596491,0.3076923076923077,0.43243243243243246,0.6521739130434783,0.7222222222222222,0.6451612903225806,0.9302325581395349,0.7555555555555555,0.68,0.8695652173913043,0.46511627906976744,0.5405405405405406,0.55,0.6046511627906976,0.5945945945945946,0.8571428571428571,0.5365853658536586,0.631578947368421,0.2962962962962963,0.6666666666666666,0.7317073170731707,0.6829268292682927,0.6666666666666666,0.21739130434782608,0.6842105263157895,0.17616580310880828,0.7111111111111111,0.8837209302325582,0.8695652173913043,0.8095238095238095,0.8695652173913043,0.9777777777777777,0.7906976744186046,0.8571428571428571,0.4528301886792453,0.9302325581395349,0.5882352941176471,0.4444444444444444,0.20689655172413793,0.5384615384615384,0.45454545454545453,0.29411764705882354,0.8888888888888888,dynadetect,0.6764705882352942,0.375,0.6153846153846154,0.6818181818181818,1.0,0.5263157894736842,1.0,0.7727272727272727,0.6296296296296297,0.8695652173913043,0.5,0.7142857142857143,0.6470588235294118,0.65,0.7857142857142857,0.8076923076923077,0.6111111111111112,0.8,1.0,0.9230769230769231,0.8333333333333334,0.7777777777777778,0.6818181818181818,0.21739130434782608,0.8666666666666667,0.10059171597633136,0.7272727272727273,0.95,0.9090909090909091,0.8947368421052632,0.8695652173913043,1.0,0.85,0.9473684210526315,0.4444444444444444,1.0,0.9090909090909091,0.6153846153846154,0.5,0.4827586206896552,0.3488372093023256,0.5,1.0,1.0,0.2608695652173913,0.3333333333333333,0.625,0.5652173913043478,0.8333333333333334,0.8695652173913043,0.7391304347826086,0.7391304347826086,0.8695652173913043,0.43478260869565216,0.43478260869565216,0.4782608695652174,0.5652173913043478,0.4782608695652174,0.9130434782608695,0.4782608695652174,0.5217391304347826,0.17391304347826086,0.5217391304347826,0.6521739130434783,0.6086956521739131,0.6521739130434783,0.21739130434782608,0.5652173913043478,0.7083333333333334,0.6956521739130435,0.8260869565217391,0.8333333333333334,0.7391304347826086,0.8695652173913043,0.9565217391304348,0.7391304347826086,0.782608695652174,0.46153846153846156,0.8695652173913043,0.43478260869565216,0.34782608695652173,0.13043478260869565,0.6086956521739131,0.6521739130434783,0.20833333333333334,0.8
0.606,SVM,GTSRB,0.6305390563174947,random_to_random,0,0.025641202926635742,label_flipping,150,,0.7186916467820265,0.606,20241226_222446,1000,0.8,0.4444444444444444,0.42105263157894735,0.6530612244897959,0.8205128205128205,0.8888888888888888,0.9302325581395349,0.7346938775510204,0.7692307692307693,0.8636363636363636,0.5945945945945946,0.5405405405405406,0.5238095238095238,0.2695035460992908,0.5714285714285714,0.7692307692307693,0.8205128205128205,0.6486486486486487,0.6111111111111112,0.5714285714285714,0.6666666666666666,0.7317073170731707,0.45,0.45714285714285713,0.6486486486486487,0.41379310344827586,0.6666666666666666,0.6153846153846154,0.7659574468085106,0.6341463414634146,0.6538461538461539,0.9302325581395349,0.7692307692307693,0.88,0.275,0.9090909090909091,0.425531914893617,0.6666666666666666,0.2916666666666667,0.45161290322580644,0.3225806451612903,0.5,0.7804878048780488,dynadetect,0.9411764705882353,0.45454545454545453,0.5714285714285714,0.64,1.0,0.9523809523809523,1.0,0.6923076923076923,0.9375,0.9047619047619048,0.7857142857142857,0.7142857142857143,0.5789473684210527,0.16101694915254236,0.8333333333333334,0.9375,1.0,0.8571428571428571,0.8461538461538461,0.45,0.7368421052631579,0.8333333333333334,0.5294117647058824,0.6666666666666666,0.8571428571428571,0.2857142857142857,0.7368421052631579,0.5517241379310345,0.782608695652174,0.7222222222222222,0.5862068965517241,1.0,0.9375,0.8148148148148148,0.2037037037037037,0.9523809523809523,0.4166666666666667,0.5588235294117647,0.28,0.875,0.625,0.75,1.0,0.6956521739130435,0.43478260869565216,0.3333333333333333,0.6666666666666666,0.6956521739130435,0.8333333333333334,0.8695652173913043,0.782608695652174,0.6521739130434783,0.8260869565217391,0.4782608695652174,0.43478260869565216,0.4782608695652174,0.8260869565217391,0.43478260869565216,0.6521739130434783,0.6956521739130435,0.5217391304347826,0.4782608695652174,0.782608695652174,0.6086956521739131,0.6521739130434783,0.391304347826087,0.34782608695652173,0.5217391304347826,0.75,0.6086956521739131,0.6956521739130435,0.75,0.5652173913043478,0.7391304347826086,0.8695652173913043,0.6521739130434783,0.9565217391304348,0.4230769230769231,0.8695652173913043,0.43478260869565216,0.8260869565217391,0.30434782608695654,0.30434782608695654,0.21739130434782608,0.375,0.64
0.612,SVM,GTSRB,0.6139711590269675,random_to_random,0,0.014811992645263672,label_flipping,250,,0.6621408499597596,0.612,20241226_222446,1000,0.5161290322580645,0.5365853658536586,0.5294117647058824,0.6976744186046512,0.7727272727272727,0.5806451612903226,0.7727272727272727,0.7037037037037037,0.8181818181818182,0.8260869565217391,0.38961038961038963,0.5238095238095238,0.3902439024390244,0.4,0.6274509803921569,0.5238095238095238,0.6190476190476191,0.7441860465116279,0.43243243243243246,0.65,0.7272727272727273,0.4,0.6530612244897959,0.14035087719298245,0.7391304347826086,0.375,0.5384615384615384,0.9090909090909091,0.84,0.8372093023255814,0.8095238095238095,0.9302325581395349,0.7307692307692307,1.0,0.6274509803921569,0.7894736842105263,0.5909090909090909,0.8636363636363636,0.0,0.4444444444444444,0.2,0.5714285714285714,0.6296296296296297,dynadetect,1.0,0.6111111111111112,0.9,0.7894736842105263,0.8095238095238095,0.47368421052631576,0.8095238095238095,0.6129032258064516,0.8571428571428571,0.8260869565217391,0.2777777777777778,0.5789473684210527,0.2711864406779661,0.8571428571428571,0.5714285714285714,0.5789473684210527,0.6842105263157895,0.8,0.5714285714285714,0.7647058823529411,0.7619047619047619,0.32432432432432434,0.6153846153846154,0.11764705882352941,0.7391304347826086,0.3,0.4827586206896552,0.9523809523809523,0.8076923076923077,0.9,0.8947368421052632,1.0,0.6551724137931034,1.0,0.64,1.0,0.6190476190476191,0.9047619047619048,0.0,0.6153846153846154,0.42857142857142855,0.5,0.5862068965517241,0.34782608695652173,0.4782608695652174,0.375,0.625,0.7391304347826086,0.75,0.7391304347826086,0.8260869565217391,0.782608695652174,0.8260869565217391,0.6521739130434783,0.4782608695652174,0.6956521739130435,0.2608695652173913,0.6956521739130435,0.4782608695652174,0.5652173913043478,0.6956521739130435,0.34782608695652173,0.5652173913043478,0.6956521739130435,0.5217391304347826,0.6956521739130435,0.17391304347826086,0.7391304347826086,0.5,0.6086956521739131,0.8695652173913043,0.875,0.782608695652174,0.7391304347826086,0.8695652173913043,0.8260869565217391,1.0,0.6153846153846154,0.6521739130434783,0.5652173913043478,0.8260869565217391,0.0,0.34782608695652173,0.13043478260869565,0.6666666666666666,0.68
0.537,SVM,GTSRB,0.5837103303422471,random_to_random,0,0.015039205551147461,label_flipping,350,,0.7051720194740075,0.537,20241226_222446,1000,0.5454545454545454,0.4745762711864407,0.29411764705882354,0.7111111111111111,0.6285714285714286,0.8,0.9333333333333333,0.5714285714285714,0.8095238095238095,0.8636363636363636,0.5777777777777777,0.5555555555555556,0.3157894736842105,0.5263157894736842,0.5945945945945946,0.5714285714285714,0.5945945945945946,0.5365853658536586,0.47368421052631576,0.13740458015267176,0.6111111111111112,0.7368421052631579,0.4166666666666667,0.12903225806451613,0.717948717948718,0.5789473684210527,0.64,0.8780487804878049,0.851063829787234,0.8837209302325582,0.8292682926829268,0.9090909090909091,0.6829268292682927,0.8780487804878049,0.25806451612903225,0.7111111111111111,0.5294117647058824,0.6666666666666666,0.14457831325301204,0.375,0.10256410256410256,0.25,0.8260869565217391,dynadetect,0.9,0.3888888888888889,0.5,0.7619047619047619,0.9166666666666666,0.8571428571428571,0.9545454545454546,0.5384615384615384,0.8947368421052632,0.9047619047619048,0.5909090909090909,0.7692307692307693,0.4,0.6666666666666666,0.7857142857142857,0.8333333333333334,0.7857142857142857,0.6111111111111112,0.6,0.07531380753138076,0.8461538461538461,0.9333333333333333,0.4,0.25,0.875,0.7857142857142857,0.5925925925925926,1.0,0.8695652173913043,0.95,0.9444444444444444,0.9523809523809523,0.7777777777777778,1.0,0.8,0.7272727272727273,0.8181818181818182,0.7368421052631579,0.1,0.6666666666666666,0.125,0.5,0.9047619047619048,0.391304347826087,0.6086956521739131,0.20833333333333334,0.6666666666666666,0.4782608695652174,0.75,0.9130434782608695,0.6086956521739131,0.7391304347826086,0.8260869565217391,0.5652173913043478,0.43478260869565216,0.2608695652173913,0.43478260869565216,0.4782608695652174,0.43478260869565216,0.4782608695652174,0.4782608695652174,0.391304347826087,0.782608695652174,0.4782608695652174,0.6086956521739131,0.43478260869565216,0.08695652173913043,0.6086956521739131,0.4583333333333333,0.6956521739130435,0.782608695652174,0.8333333333333334,0.8260869565217391,0.7391304347826086,0.8695652173913043,0.6086956521739131,0.782608695652174,0.15384615384615385,0.6956521739130435,0.391304347826087,0.6086956521739131,0.2608695652173913,0.2608695652173913,0.08695652173913043,0.16666666666666666,0.76
